Document No,Purchase Date,Quantity,Net Price,Customer ID
12617520,00:00.0,25,647.89,1046690
12535443,00:00.0,25,133.6,1046690
13139801,00:00.0,100,5593,1046690
13394402,00:00.0,500,12726,1046690
13471549,00:00.0,1500,18275,1046690
13159619,00:00.0,10,147397,1046690
13276656,00:00.0,200,2500,1046690
12996587,00:00.0,50,381501,1046690
12657134,00:00.0,100,36.26,1046690
13232408,00:00.0,500,9836,1046690
12670225,00:00.0,500,1077.3,1046690
12989739,00:00.0,100,6480,1046690
13445672,00:00.0,200,3500,1046690
13086904,00:00.0,50,7407,1046690
12670225,00:00.0,200,152,1046690
12989811,00:00.0,1000,13274,1046690
12798806,00:00.0,160,632,1046690
13367353,00:00.0,100,5100,1046690
13304668,00:00.0,650,19800,1046690
12844431,00:00.0,200,17050,1046690
13291862,00:00.0,50,9000,1046690
13199831,00:00.0,100,2920,1046690
12941397,00:00.0,20,24116,1046690
12552977,00:00.0,25,66.1,1046690
12614395,00:00.0,500,117,1046690
13326142,00:00.0,500,41980,1046690
13224728,00:00.0,200,2257,1046690
12996587,00:00.0,15,628560,1046690
12954188,00:00.0,50,6480,1046690
12657134,00:00.0,100,32.67,1046690
12688200,00:00.0,100,36.57,1046690
13159619,00:00.0,10,37409,1046690
13241195,00:00.0,180,35423,1046690
12670225,00:00.0,1000,162.45,1046690
13441299,00:00.0,100,5593,1046690
12606866,00:00.0,20,974.55,1046690
13086904,00:00.0,5,50748,1046690
13224728,00:00.0,600,16095,1046690
12552977,00:00.0,25,948.48,1046690
12609717,00:00.0,400,2.98,1046690
12996587,00:00.0,25,6862265,1046690
12989739,00:00.0,100,8389,1046690
12996587,00:00.0,25,2287745,1046690
13005608,00:00.0,50,11918,1046690
13075655,00:00.0,10,98878,1046690
13224728,00:00.0,500,9806,1046690
13458428,00:00.0,100,2145,1046690
13367353,00:00.0,700,18000,1046690
13348821,00:00.0,500,18000,1046690
13248223,00:00.0,10,147397,1046690
13331501,00:00.0,250,35275,1046690
13159619,00:00.0,5,165368,1046690
13199831,00:00.0,150,10557,1046690
12989739,00:00.0,50,6480,1046690
12618272,00:00.0,2500,9627.36,1046690
12670225,00:00.0,100,26.6,1046690
12810583,00:00.0,7,2251.71,1046690
13348452,00:00.0,500,35379,1046690
13232408,00:00.0,200,6076,1046690
13117420,00:00.0,85,5123,1046690
13159619,00:00.0,25,83753,1046690
12996587,00:00.0,50,718479,1046690
12554493,00:00.0,100,98.34,1046690
12989739,00:00.0,10,101835,1046690
13326142,00:00.0,5,51479,1046690
13224728,00:00.0,500,11535,1046690
12954188,00:00.0,100,7371,1046690
13005608,00:00.0,50,3933,1046690
12535443,00:00.0,25,402.3,1046690
13005608,00:00.0,25,24022,1046690
13326142,00:00.0,100,2500,1046690
13199831,00:00.0,300,12045,1046690
13288273,00:00.0,700,34500,1046690
12820372,00:00.0,5,13760,1046690
13288608,00:00.0,100,925,1046690
13232408,00:00.0,400,6044,1046690
13288608,00:00.0,100,12045,1046690
12989739,00:00.0,25,57995,1046690
12996587,00:00.0,10,9591166,1046690
12874874,00:00.0,150,68185,1046690
12777190,00:00.0,100,58.13,1046690
13035845,00:00.0,5,50748,1046690
12568718,00:00.0,150,103.52,1046690
12989739,00:00.0,50,42104,1046690
12692157,00:00.0,300,54,1046690
13426415,00:00.0,100,5123,1046690
12874874,00:00.0,60,82923,1046690
12989739,00:00.0,25,7763,1046690
12925881,00:00.0,12,13145,1046690
13354254,00:00.0,50,1730,1046690
12755058,00:00.0,100,52.25,1046690
13224728,00:00.0,40,56500,1046690
12554493,00:00.0,150,141.35,1046690
12989739,00:00.0,250,1262,1046690
12954188,00:00.0,100,7435,1046690
12954188,00:00.0,400,7371,1046690
13445672,00:00.0,100,2500,1046690
12873675,00:00.0,50,3175,1046690
12873675,00:00.0,50,9763,1046690
13199831,00:00.0,100,12045,1046690
13326142,00:00.0,200,24000,1046690
13005608,00:00.0,5,403183,1046690
13232408,00:00.0,150,8550,1046690
13367353,00:00.0,300,6044,1046690
13348821,00:00.0,100,5123,1046690
13155445,00:00.0,100,1078,1046690
13086904,00:00.0,5,482933,1046690
13313908,00:00.0,550,18000,1046690
13223574,00:00.0,1000,67150,1046690
13269229,00:00.0,2,22545,1046690
12667531,00:00.0,500,87500,1046690
12786488,00:00.0,300,51.34,1046690
13031351,00:00.0,59,2145,1046690
13354254,00:00.0,10,287500,1046690
13445672,00:00.0,50,44212,1046690
12742052,00:00.0,100,11.66,1046690
12989739,00:00.0,10,37409,1046690
13005608,00:00.0,10,147397,1046690
13223574,00:00.0,400,67150,1046690
13474054,00:00.0,100,2500,1046690
13022957,00:00.0,100,6044,1046690
13331501,00:00.0,10,34974,1046690
12692157,00:00.0,100,72.37,1046690
12996587,00:00.0,50,431359,1046690
13005608,00:00.0,50,3933,1046690
13291862,00:00.0,10,22545,1046690
13035845,00:00.0,5,180724,1046690
12701006,00:00.0,100,54,1046690
12783784,00:00.0,300,1406.47,1046690
13005608,00:00.0,25,13145,1046690
12876239,00:00.0,100,2107,1046690
12578686,00:00.0,1500,146.94,1046690
13367353,00:00.0,100,55594,1046690
12954188,00:00.0,100,6480,1046690
12996587,00:00.0,100,104566,1046690
13117420,00:00.0,15,5123,1046690
12966231,00:00.0,50,1580,1046690
12925881,00:00.0,50,14558,1046690
13269229,00:00.0,500,24000,1046690
12810583,00:00.0,150,129.39,1046690
12810583,00:00.0,5,3116.4,1046690
13276656,00:00.0,200,3500,1046690
12591112,00:00.0,100,55,1046690
12670225,00:00.0,1000,178.6,1046690
13117420,00:00.0,1,37409,1046690
12989739,00:00.0,200,1580,1046690
13291862,00:00.0,650,18000,1046690
12568718,00:00.0,800,95.49,1046690
13378072,00:00.0,700,12500,1046690
12701006,00:00.0,100,15.42,1046690
13288608,00:00.0,25,42584,1046690
12542822,00:00.0,600,97.85,1046690
12820372,00:00.0,50,11121,1046690
12735797,00:00.0,300,54,1046690
13031351,00:00.0,41,2145,1046690
13463101,00:00.0,100,18500,1046690
13291862,00:00.0,50,3000,1046690
12617520,00:00.0,25,626.05,1046690
12989739,00:00.0,100,1078,1046690
13117420,00:00.0,100,6044,1046690
12606866,00:00.0,10,10641.9,1046690
13075655,00:00.0,100,5123,1046690
13474054,00:00.0,100,2500,1046690
13035845,00:00.0,5,482933,1046690
12670225,00:00.0,500,162.45,1046690
12903680,00:00.0,50,7407,1046690
12591112,00:00.0,100,17,1046690
12844431,00:00.0,400,7371,1046690
12755058,00:00.0,100,16.15,1046690
12925881,00:00.0,10,107728,1046690
12903680,00:00.0,25,13679,1046690
13304668,00:00.0,700,12500,1046690
12996587,00:00.0,50,724978,1046690
12535443,00:00.0,50,86.71,1046690
12783784,00:00.0,100,78,1046690
13348821,00:00.0,5,97000,1046690
13437008,00:00.0,20,31000,1046690
13224721,00:00.0,10,34974,1046690
13224721,00:00.0,10,22545,1046690
13224721,00:00.0,200,6044,1046690
13224721,00:00.0,100,5100,1046690
13224721,00:00.0,300,2500,1046690
12996587,00:00.0,25,2478835,1046690
12996587,00:00.0,100,586268,1046690
12966231,00:00.0,50,9763,1046690
13348821,00:00.0,25,5546,1046690
13075655,00:00.0,10,24116,1046690
13199831,00:00.0,100,5123,1046690
12687073,00:00.0,100,34.91,1046690
13369315,00:00.0,200,35275,1046690
13241195,00:00.0,25,14304,1046690
13288294,00:00.0,1000,35275,1046690
12996587,00:00.0,25,4956312,1046690
13031351,00:00.0,100,3175,1046690
12742052,00:00.0,25,668.6,1046690
13474054,00:00.0,5,180724,1046690
13022957,00:00.0,120,28688,1046690
13288608,00:00.0,100,12500,1046690
12755058,00:00.0,300,962.73,1046690
13336665,00:00.0,200,6044,1046690
13392170,00:00.0,50,5593,1046690
13241195,00:00.0,10,56500,1046690
12996587,00:00.0,50,231539,1046690
13022957,00:00.0,100,6044,1046690
13031351,00:00.0,100,1310,1046690
13465288,00:00.0,4500,10625,1046690
13452991,00:00.0,1000,42500,1046690
13452472,00:00.0,10,103500,1046690
13441299,00:00.0,25,12287,1046690
12903680,00:00.0,50,6480,1046690
13367353,00:00.0,300,6044,1046690
12996587,00:00.0,50,307975,1046690
12606866,00:00.0,20,98,1046690
13005608,00:00.0,25,18452,1046690
13463171,00:00.0,1500,6575,1046690
13454703,00:00.0,50,6924,1046690
12838201,00:00.0,10,25250,1046690
12742052,00:00.0,100,53.07,1046690
12757454,00:00.0,200,126.3,1046690
12719454,00:00.0,1000,129.39,1046690
12617520,00:00.0,100,52.3,1046690
12954188,00:00.0,100,2295,1046690
12929671,00:00.0,250,999,1046690
13392170,00:00.0,5,180724,1046690
12989739,00:00.0,100,5457,1046690
12925881,00:00.0,5,589140,1046690
13224728,00:00.0,500,11535,1046690
12608922,00:00.0,200,1.49,1046690
12863226,00:00.0,50,3933,1046690
12810583,00:00.0,25,122,1046690
13155445,00:00.0,100,5977,1046690
12657134,00:00.0,100,44.86,1046690
13272492,00:00.0,500,19800,1046690
12757454,00:00.0,100,72.37,1046690
12989739,00:00.0,5,98466,1046690
13288608,00:00.0,10,56500,1046690
12966231,00:00.0,100,1078,1046690
12844431,00:00.0,100,7371,1046690
13234545,00:00.0,500,34500,1046690
13495987,00:00.0,100,1374,1046690
12929671,00:00.0,100,2009,1046690
13248223,00:00.0,100,5977,1046690
13086904,00:00.0,5,403183,1046690
13452991,00:00.0,4000,74375,1046690
13437008,00:00.0,15,151500,1046690
13441299,00:00.0,100,1730,1046690
12820372,00:00.0,50,3616,1046690
12697416,00:00.0,1400,153,1046690
13480784,00:00.0,5,130867,1046690
13224721,00:00.0,50,19953,1046690
12687073,00:00.0,100,52.25,1046690
12571257,00:00.0,500,84.06,1046690
12729731,00:00.0,1000,146.94,1046690
12670225,00:00.0,500,109.8,1046690
12780800,00:00.0,400,566.88,1046690
12989739,00:00.0,20,3530,1046690
12780800,00:00.0,100,192.08,1046690
12989739,00:00.0,20,98466,1046690
13452472,00:00.0,1000,6575,1046690
13304668,00:00.0,400,6044,1046690
13276656,00:00.0,250,18000,1046690
12989739,00:00.0,5,180724,1046690
12966231,00:00.0,50,3175,1046690
12535443,00:00.0,50,282.5,1046690
12989739,00:00.0,20,1118,1046690
12608922,00:00.0,200,0.54,1046690
12742052,00:00.0,25,69.4,1046690
12704957,00:00.0,25,638.54,1046690
12687073,00:00.0,25,470.56,1046690
19118101,00:00.0,-50,1730,1046690
13288294,00:00.0,1000,67150,1046690
13313908,00:00.0,5,180724,1046690
13367353,00:00.0,100,6044,1046690
12929671,00:00.0,250,1262,1046690
12798806,00:00.0,95,1347,1046690
13391278,00:00.0,200,12726,1046690
13367353,00:00.0,100,1223,1046690
13224728,00:00.0,200,12500,1046690
13199831,00:00.0,10,98466,1046690
12729731,00:00.0,5,4364,1046690
12989739,00:00.0,25,46472,1046690
12966231,00:00.0,100,5977,1046690
13005608,00:00.0,50,7474,1046690
13422296,00:00.0,10,208000,1046690
13031351,00:00.0,100,5457,1046690
13132413,00:00.0,5,403183,1046690
13367353,00:00.0,300,22000,1046690
13495987,00:00.0,100,5728,1046690
12820372,00:00.0,20,13760,1046690
13392170,00:00.0,5,97000,1046690
13367353,00:00.0,4,422531,1046690
12838201,00:00.0,100,2295,1046690
12606866,00:00.0,30,306.83,1046690
13426415,00:00.0,10,22545,1046690
12820372,00:00.0,20,138655,1046690
12989739,00:00.0,100,1310,1046690
13348821,00:00.0,200,9836,1046690
12996587,00:00.0,100,628560,1046690
12777190,00:00.0,200,37.23,1046690
13224721,00:00.0,200,6044,1046690
12606866,00:00.0,150,824.66,1046690
13420951,00:00.0,100,1580,1046690
13474054,00:00.0,100,1580,1046690
13354254,00:00.0,50,1730,1046690
12701006,00:00.0,100,15.42,1046690
13288608,00:00.0,50,10557,1046690
13223574,00:00.0,500,35275,1046690
13159619,00:00.0,10,107728,1046690
12777190,00:00.0,50,152.22,1046690
13474054,00:00.0,5,422531,1046690
13367353,00:00.0,10,22545,1046690
12786488,00:00.0,260,5396.35,1046690
13326433,00:00.0,1500,65000,1046690
13155445,00:00.0,50,7407,1046690
12925881,00:00.0,100,1580,1046690
12742052,00:00.0,1000,146.94,1046690
13437020,00:00.0,500,11050,1046690
13199831,00:00.0,12,1730,1046690
12876239,00:00.0,100,7623,1046690
12820372,00:00.0,5,589140,1046690
12838205,00:00.0,5,507731,1046690
12535443,00:00.0,20,68.99,1046690
13005608,00:00.0,50,25500,1046690
13445672,00:00.0,200,2500,1046690
13279816,00:00.0,150,55594,1046690
12578686,00:00.0,300,98.19,1046690
12820372,00:00.0,5,138655,1046690
12767453,00:00.0,1000,301,1046690
13426415,00:00.0,200,3500,1046690
12876239,00:00.0,10,29738,1046690
13382529,00:00.0,10,148878,1046690
13199769,00:00.0,400,65000,1046690
12578686,00:00.0,500,114.14,1046690
13336665,00:00.0,1000,35000,1046690
12873675,00:00.0,5,507731,1046690
12989739,00:00.0,20,5546,1046690
13248223,00:00.0,100,1078,1046690
13420951,00:00.0,100,5123,1046690
13354254,00:00.0,400,6044,1046690
12929671,00:00.0,100,8173,1046690
13050558,00:00.0,100,6480,1046690
13382529,00:00.0,150,8800,1046690
13199831,00:00.0,100,114183,1046690
12873675,00:00.0,5,589140,1046690
12966231,00:00.0,100,1310,1046690
12989739,00:00.0,100,5977,1046690
12925881,00:00.0,200,6044,1046690
13382529,00:00.0,100,6000,1046690
13224728,00:00.0,1000,12463,1046690
13035845,00:00.0,10,37409,1046690
12777190,00:00.0,100,35.37,1046690
12844431,00:00.0,50,6480,1046690
13199831,00:00.0,200,3510,1046690
13348821,00:00.0,50,6924,1046690
12838201,00:00.0,100,7435,1046690
12863226,00:00.0,10,37409,1046690
13199769,00:00.0,500,65000,1046690
13495987,00:00.0,10,34974,1046690
13392170,00:00.0,500,26500,1046690
13458428,00:00.0,10,34974,1046690
12591112,00:00.0,60,206815,1046690
13224721,00:00.0,50,3674,1046690
12810583,00:00.0,5,1539.2,1046690
12996587,00:00.0,25,7129500,1046690
12578686,00:00.0,100,614.32,1046690
13474054,00:00.0,100,1580,1046690
12863226,00:00.0,50,21343,1046690
12996587,00:00.0,25,1065060,1046690
13489037,00:00.0,890,11050,1046690
13382529,00:00.0,130,136500,1046690
13465288,00:00.0,500,10625,1046690
12606866,00:00.0,150,26.78,1046690
12742052,00:00.0,100,48.46,1046690
12996587,00:00.0,35,628560,1046690
13437020,00:00.0,800,1536715,1046690
13086904,00:00.0,5,417775,1046690
13348452,00:00.0,500,35379,1046690
12617520,00:00.0,100,11.5,1046690
12729731,00:00.0,12,48,1046690
13445672,00:00.0,100,3500,1046690
12701006,00:00.0,100,54,1046690
12996587,00:00.0,100,140553,1046690
13422296,00:00.0,100,3500,1046690
13489037,00:00.0,950,8648750,1046690
12688200,00:00.0,100,35.37,1046690
13369452,00:00.0,1000,65000,1046690
13495987,00:00.0,100,5123,1046690
13224728,00:00.0,50,12463,1046690
13391278,00:00.0,130,174942,1046690
13367353,00:00.0,25,12287,1046690
12989739,00:00.0,10,165368,1046690
12535443,00:00.0,50,34.91,1046690
13288608,00:00.0,50,12045,1046690
13199831,00:00.0,25,42584,1046690
12783784,00:00.0,400,566.88,1046690
13331501,00:00.0,100,18000,1046690
13437020,00:00.0,800,23375,1046690
13224728,00:00.0,1000,9806,1046690
12925881,00:00.0,13,13145,1046690
12989739,00:00.0,10,148760,1046690
12568718,00:00.0,500,148.79,1046690
12838196,00:00.0,300,18988,1046690
13348821,00:00.0,200,18000,1046690
13495987,00:00.0,100,2500,1046690
12996587,00:00.0,25,6481055,1046690
12687073,00:00.0,50,113.2,1046690
12608922,00:00.0,200,0.54,1046690
13288608,00:00.0,200,2500,1046690
13474054,00:00.0,100,6044,1046690
12750089,00:00.0,100,20.94,1046690
13367353,00:00.0,5,422531,1046690
12838201,00:00.0,10,32064,1046690
12701006,00:00.0,100,11.23,1046690
12876239,00:00.0,10,29738,1046690
12966231,00:00.0,100,5457,1046690
13159619,00:00.0,25,13145,1046690
13422817,00:00.0,1500,11050,1046690
12838205,00:00.0,300,17050,1046690
12617520,00:00.0,25,582.36,1046690
13005608,00:00.0,25,7763,1046690
13288608,00:00.0,300,18000,1046690
12863226,00:00.0,10,9227,1046690
13463117,00:00.0,100,152410,1046690
12729731,00:00.0,100,16.15,1046690
13463117,00:00.0,31,85000,1046690
13441299,00:00.0,50,6924,1046690
12535443,00:00.0,50,668.5,1046690
12617520,00:00.0,100,11.5,1046690
13224721,00:00.0,100,1223,1046690
13420951,00:00.0,500,41980,1046690
13288608,00:00.0,300,3500,1046690
13241195,00:00.0,100,2009,1046690
13075655,00:00.0,25,13145,1046690
13288608,00:00.0,25,14304,1046690
13224721,00:00.0,100,2500,1046690
12810583,00:00.0,10,104.6,1046690
13474054,00:00.0,100,4148,1046690
13367353,00:00.0,10,98466,1046690
13474054,00:00.0,100,6044,1046690
13422817,00:00.0,500,1536715,1046690
13223574,00:00.0,500,35275,1046690
13468326,00:00.0,3000,467,1145417
12554493,00:00.0,500,126.3,1046690
12755058,00:00.0,500,129.39,1046690
13224721,00:00.0,200,11535,1046690
12535443,00:00.0,30,68.99,1046690
12670225,00:00.0,500,1077.3,1046690
13474054,00:00.0,100,1129,1046690
13132413,00:00.0,400,6044,1046690
13422296,00:00.0,50,6924,1046690
13441299,00:00.0,10,104000,1046690
13224721,00:00.0,50,12287,1046690
13474054,00:00.0,50,6924,1046690
13199831,00:00.0,38,1730,1046690
12701006,00:00.0,400,54,1046690
13382529,00:00.0,25,19953,1046690
13446847,00:00.0,200,12726,1046690
12989739,00:00.0,20,9227,1046690
13474054,00:00.0,10,22545,1046690
13426415,00:00.0,100,6000,1046690
12701006,00:00.0,100,12.47,1046690
13224728,00:00.0,250,9806,1046690
13331501,00:00.0,150,42500,1046690
12996587,00:00.0,50,724493,1046690
13336665,00:00.0,200,6044,1046690
12996587,00:00.0,25,952831,1046690
13463101,00:00.0,100,103000,1046690
13489037,00:00.0,500,10773750,1046690
13474054,00:00.0,100,6000,1046690
12780800,00:00.0,300,192.08,1046690
12617520,00:00.0,100,48.35,1046690
13224721,00:00.0,300,6044,1046690
12755058,00:00.0,5,3930.22,1046690
13199831,00:00.0,50,5593,1046690
13005608,00:00.0,50,21343,1046690
13196842,00:00.0,1000,65000,1046690
12783784,00:00.0,24,4.8,1046690
12606866,00:00.0,7,707.77,1046690
13392170,00:00.0,50,1730,1046690
13458428,00:00.0,400,6044,1046690
13474054,00:00.0,50,6924,1046690
13391278,00:00.0,100,51960,1046690
12873675,00:00.0,50,6480,1046690
13367353,00:00.0,5,599183,1046690
13354254,00:00.0,100,2257,1046690
13422296,00:00.0,100,2500,1046690
13031351,00:00.0,100,9763,1046690
13199831,00:00.0,400,6044,1046690
13454703,00:00.0,140,235500,1046690
12631127,00:00.0,4000,48.42,1046690
12989739,00:00.0,10,75835,1046690
13086904,00:00.0,250,1262,1046690
13401112,00:00.0,500,41980,1046690
13199831,00:00.0,50,10528,1046690
13452991,00:00.0,400,42500,1046690
12996587,00:00.0,100,586268,1046690
12687073,00:00.0,50,132.42,1046690
13474054,00:00.0,100,6274,1046690
12606866,00:00.0,7,61.75,1046690
12777190,00:00.0,100,36.57,1046690
12838205,00:00.0,100,45529,1046690
12996587,00:00.0,50,763002,1046690
13354254,00:00.0,100,2500,1046690
13354254,00:00.0,50,5593,1046690
13480792,00:00.0,25,9161,1046690
12925881,00:00.0,100,5457,1046690
13474054,00:00.0,100,6044,1046690
13463080,00:00.0,50,50885,1046690
12742052,00:00.0,100,9.59,1046690
12729731,00:00.0,100,52.25,1046690
13495987,00:00.0,10,22545,1046690
13489037,00:00.0,500,21675,1046690
12608922,00:00.0,100,0.54,1046690
13224721,00:00.0,100,12463,1046690
12554493,00:00.0,500,614.32,1046690
12989739,00:00.0,50,6480,1046690
12670225,00:00.0,500,1749.52,1046690
13458027,00:00.0,1000,695,1145417
12903680,00:00.0,25,13145,1046690
13422817,00:00.0,800,23375,1046690
12925881,00:00.0,100,1310,1046690
12687073,00:00.0,100,16.15,1046690
13224721,00:00.0,50,12045,1046690
13401226,00:00.0,2000,691,1145417
13468326,00:00.0,1000,657,1145417
13451285,00:00.0,1000,690,1145417
13468332,00:00.0,1000,695,1145417
13400617,00:00.0,1000,653,1145417
13401226,00:00.0,2000,691,1145417
13451285,00:00.0,3000,916,1145417
13468332,00:00.0,1000,695,1145417
13468321,00:00.0,2000,467,1145417
13426442,00:00.0,1000,924,1145417
13488338,00:00.0,1000,949,1145417
13468326,00:00.0,2000,657,1145417
13413874,00:00.0,1000,653,1145417
13468321,00:00.0,1000,695,1145417
13488338,00:00.0,5000,949,1145417
13400617,00:00.0,2000,917,1145417
13468321,00:00.0,1000,923,1145417
12537258,00:00.0,100,2.34,1084490
12813532,00:00.0,100,256.08,1084490
12813532,00:00.0,200,58.2,1084490
12813532,00:00.0,200,165.87,1084490
12805897,00:00.0,3300,1.09,1084490
12813532,00:00.0,100,165.87,1084490
12813532,00:00.0,200,165.87,1084490
12813532,00:00.0,200,165.87,1084490
12537258,00:00.0,50,0.45,1084490
12841351,00:00.0,150,15878,1084490
12805897,00:00.0,1000,1.59,1084490
12537258,00:00.0,350,1.4,1084490
12805897,00:00.0,3300,0.69,1084490
12805897,00:00.0,1100,0.93,1084490
12862049,00:00.0,600,22300,1084490
12537258,00:00.0,450,0.63,1084490
12537258,00:00.0,50,1.94,1084490
12537258,00:00.0,300,2.51,1084490
12813532,00:00.0,100,256.08,1084490
12841351,00:00.0,100,15878,1084490
12841351,00:00.0,150,36894,1084490
12537258,00:00.0,100,0.1,1084490
12537258,00:00.0,200,8.28,1084490
12813532,00:00.0,100,165.87,1084490
12537258,00:00.0,300,2.5,1084490
12813532,00:00.0,200,369.57,1084490
12537258,00:00.0,300,3.86,1084490
12813532,00:00.0,200,369.57,1084490
12537258,00:00.0,450,0.1,1084490
12537258,00:00.0,50,2.21,1084490
12537258,00:00.0,150,3.37,1084490
12537258,00:00.0,200,2.17,1084490
12805897,00:00.0,2500,2.04,1084490
12813532,00:00.0,200,369.57,1084490
12537258,00:00.0,100,0.35,1084490
12537258,00:00.0,600,0.98,1084490
12805897,00:00.0,1200,3.47,1084490
12813532,00:00.0,100,162.45,1084490
12813532,00:00.0,100,256.08,1084490
12841351,00:00.0,600,36894,1084490
12537258,00:00.0,200,2.13,1084490
12813532,00:00.0,2500,58.2,1084490
12537258,00:00.0,80,73.45,1084490
12537258,00:00.0,50,0.31,1084490
12537258,00:00.0,200,2.5,1084490
12805897,00:00.0,1650,0.93,1084490
